ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
15196.0454931	148.815	10.4527027027	94.9527027027	67.0878378378	33754.9701546	16	641	419	17.0	669.0	471.0	2	7.0	24.0	17.0	6	0	476.3349449634552	3400	7784.908982515335	2204	35.176470588235304	
15982.95169	147.845	10.4509803922	97.8496732026	69.2418300654	33754.9701546	17	688	389	17.0	669.0	471.0	6	7.0	24.0	17.0	6	0	494.7440950870514	3600	8279.653077602386	2311	35.80555555555556	
14892.9086889	159.855	10.3873239437	97.8661971831	69.1901408451	33754.9701546	18	746	497	17.0	669.0	471.0	1	7.0	24.0	17.0	6	0	463.4236960411072	3800	8743.076773643494	2431	36.026315789473685	
15362.1448011	162.55	10.3248407643	103.681528662	73.2802547771	33754.9701546	19	789	435	17.0	741.0	523.0	1	7.0	24.0	17.0	6	0	531.5977883338928	4000	9274.674561977386	2560	36.0	
15697.1744925	165.39	10.7647058824	131.901960784	93.2222222222	33754.9701546	20	836	460	17.0	893.0	629.0	1	7.0	24.0	17.0	6	0	568.5143163204193	4200	9843.188878297806	2682	36.142857142857146	
16474.6332001	189.245	11.3248407643	141.178343949	99.8662420382	33754.9701546	21	879	479	17.0	741.0	523.0	2	7.0	24.0	17.0	6	0	597.7953596115112	4400	10440.984237909317	2808	36.18181818181818	
16444.4651774	207.905	11.4358974359	140.820512821	99.5705128205	36617.529708	22	923	480	17.0	746.0	527.0	2	7.0	24.0	17.0	6	0	600.59477186203	4600	11041.579009771347	2946	35.95652173913044	
17774.085734	242.105	11.9731543624	173.953020134	122.872483221	36617.529708	23	974	493	17.0	600.0	424.0	3	7.0	24.0	17.0	6	0	643.5171461105347	4800	11685.096155881882	3055	36.354166666666664	
18218.1460169	247.69	11.9285714286	181.681818182	128.331168831	36617.529708	24	1020	495	17.0	688.0	485.0	31	7.0	24.0	17.0	6	0	623.1393344402313	5000	12308.235490322113	3180	36.4	
17536.0986054	228.605	11.695035461	161.595744681	114.127659574	36617.529708	25	1079	489	17.0	534.0	377.0	2	7.0	24.0	17.0	6	0	532.7549185752869	5200	12840.9904088974	3287	36.78846153846153	
17978.1513596	244.27	12.0533333333	186.046666667	131.373333333	36617.529708	26	1129	489	17.0	795.0	560.0	14	7.0	24.0	17.0	7	0	607.4071443080902	5400	13448.39755320549	3401	37.01851851851852	
18604.6773141	235.825	12.6666666667	196.243055556	138.597222222	36617.529708	27	1185	485	17.0	795.0	560.0	6	7.0	24.0	17.0	7	0	599.9742228984833	5600	14048.371776103973	3508	37.357142857142854	
18302.1794543	247.775	12.6518518519	186.251851852	131.622222222	36617.529708	28	1250	481	17.0	795.0	560.0	3	8.0	31.0	22.0	7	0	554.8388724327087	5800	14603.210648536682	3610	37.758620689655174	
18392.6940614	270.86	12.7806451613	176.967741935	125.038709677	36617.529708	29	1295	500	17.0	682.0	481.0	29	8.0	31.0	22.0	9	0	554.2057666778564	6000	15157.416415214539	3743	37.61666666666667	
17785.9830751	267.245	12.4513888889	151.131944444	106.868055556	36617.529708	30	1351	482	17.0	618.0	437.0	4	7.0	27.0	19.0	10	0	469.45258259773254	6200	15626.868997812271	3860	37.74193548387097	
17785.9830751	267.245	12.4513888889	151.131944444	106.868055556	36617.529708	30	1351	482	17.0	618.0	437.0	4	7.0	27.0	19.0	10	0	469.45258259773254	6200	15626.868997812271	3860	37.74193548387097	
