Date,MSCI_PX_CE,MSCI_Y_ON_Y_GR_TRAIL_EPS,BEST_PE_RATIO,PX_OPEN,PX_HIGH,PX_LOW,PX_OFFICIAL_CLOSE,LISTED_SH,NUM_TRADES,TOT_SELL_REC,TOT_BUY_REC,TOT_HOLD_REC
,,,,30.1828,30.9455,30.1283,,,,0,2,0
2000-05-02 00:00:00,,,,31.109,32.1441,30.891,,,,,,
2000-05-03 00:00:00,,,,31.6538,31.8172,31.3269,,,,,,
2000-05-04 00:00:00,,,,31.109,31.3814,31.0545,,,,,,
2000-05-05 00:00:00,,,,31.3814,31.5448,31.109,,,,,,
2000-05-08 00:00:00,,,,31.2724,31.4903,31.109,,,,,,
2000-05-09 00:00:00,,,,31.1634,31.3269,31.0545,,,,,,
2000-05-10 00:00:00,,,,31.0545,31.3269,30.9455,,,,,,
2000-05-11 00:00:00,,,,31.2724,31.4903,31.2724,,,,,,
2000-05-12 00:00:00,,,,31.2179,31.3269,31.109,,,,,,
2000-05-15 00:00:00,,,,31.3269,31.3269,30.9455,,,,,,
2000-05-16 00:00:00,,,,31.2724,31.3814,31.1634,,,,,,
2000-05-17 00:00:00,,,,31.3269,31.4903,31.109,,,,,,
2000-05-18 00:00:00,,,,31.3269,31.4903,30.7276,,,,0,3,0
2000-05-19 00:00:00,,,,30.891,31.2179,30.891,,,,,,
2000-05-22 00:00:00,,,,30.9455,31.109,30.891,,,,,,
2000-05-23 00:00:00,,,,30.9455,30.9455,30.5097,,,,,,
2000-05-24 00:00:00,,,,30.5097,30.5097,30.2917,,,,,,
2000-05-25 00:00:00,,,,30.4552,30.6186,30.2917,,,,,,
2000-05-26 00:00:00,,,,30.6186,30.7276,30.4552,,,,,,
2000-05-30 00:00:00,,,,30.6731,30.7276,30.3462,,,,,,
2000-05-31 00:00:00,,,,30.3462,30.5641,30.2917,,,,,,
2000-06-01 00:00:00,,,,30.5097,30.5097,30.2917,,,,0,4,0
2000-06-02 00:00:00,,,,30.5097,30.9455,30.5097,,,,,,
2000-06-05 00:00:00,,,,30.5641,30.7821,30.5641,,,,,,
2000-06-06 00:00:00,,,,30.6731,30.9455,30.6186,,,,,,
2000-06-07 00:00:00,,,,30.7276,31,30.7276,,,,,,
2000-06-08 00:00:00,,,,30.891,31.0545,30.8366,,,,,,
2000-06-09 00:00:00,,,,30.9455,31.2724,30.9455,,,,,,
2000-06-12 00:00:00,,,,31.2179,31.3269,31.1634,,,,,,
2000-06-13 00:00:00,,,,31.3814,31.3814,31.2179,,,,,,
2000-06-14 00:00:00,,,,31.3269,31.8172,30.891,,,,,,
2000-06-15 00:00:00,,,,31.6538,31.7627,31.5993,,,,0,4,0
2000-06-16 00:00:00,,,,31.7083,31.8172,31.5448,,,,,,
2000-06-19 00:00:00,,,,31.6538,31.6538,31.3269,,,,,,
2000-06-20 00:00:00,,,,31.3269,31.3814,31.3269,,,,,,
2000-06-21 00:00:00,,,,31.2179,31.4903,31.2179,,,,,,
2000-06-22 00:00:00,,,,31.3814,31.6538,31.3814,,,,,,
2000-06-23 00:00:00,,,,31.5448,31.5993,31.3814,,,,,,
2000-06-26 00:00:00,,,,31.4358,31.5993,31.0545,,,,,,
2000-06-27 00:00:00,,,,31.3269,31.4903,31.2724,,,,,,
2000-06-28 00:00:00,,,,31.3814,31.6538,31.3269,,,,,,
2000-06-29 00:00:00,,,,31.3814,31.4903,31.2724,,,,,,
2000-06-30 00:00:00,,,,31.3814,31.9262,29.8559,,,,0,4,0
2000-07-03 00:00:00,,,,30.6186,31,30.6186,,,,,,
2000-07-05 00:00:00,,,,30.7821,31.6538,30.7276,,,,,,
2000-07-06 00:00:00,,,,31.4358,32.3076,31.4358,,,,,,
2000-07-07 00:00:00,,,,32.1441,32.58,32.0896,,,,,,
2000-07-10 00:00:00,,,,32.4165,32.4165,32.1441,,,,,,
2000-07-11 00:00:00,,,,32.2531,32.2531,32.0896,,,,,,
2000-07-12 00:00:00,,,,32.1441,32.2531,32.0896,,,,,,
2000-07-13 00:00:00,,,,32.1441,32.2531,32.0896,,,,,,
2000-07-14 00:00:00,,,,32.0896,32.362,32.0896,,,,,,
2000-07-17 00:00:00,,,,32.3076,32.3076,32.0351,,,,,,
2000-07-18 00:00:00,,,,32.1441,32.4165,32.1441,,,,,,
2000-07-19 00:00:00,,,,32.3076,32.5255,32.3076,,,,,,
2000-07-20 00:00:00,,,,32.5255,32.7979,32.4165,,,,,,
2000-07-21 00:00:00,,,,32.6889,33.1248,32.6889,,,,,,
2000-07-24 00:00:00,,,,33.1248,33.3427,33.0703,,,,,,
2000-07-25 00:00:00,,,,33.3972,33.6696,33.3972,,,,,,
2000-07-26 00:00:00,,,,33.6151,34.2144,33.6151,,,,,,
2000-07-27 00:00:00,,,,34.2144,34.5413,34.1599,,,,,,
2000-07-28 00:00:00,,,,34.4868,34.5958,34.1599,,,,,,
2000-07-31 00:00:00,,,,34.2689,34.3779,33.9965,,,,,,
2000-08-01 00:00:00,,,,33.9965,35.522,33.9965,,,,,,
2000-08-02 00:00:00,,,,35.413,35.522,35.0316,,,,,,
2000-08-03 00:00:00,,,,34.9771,35.3585,34.9771,,,,0,4,0
2000-08-04 00:00:00,,,,35.2496,35.304,34.5413,,,,,,
2000-08-07 00:00:00,,,,35.0861,35.0861,34.7047,,,,,,
2000-08-08 00:00:00,,,,34.5413,35.1951,34.5413,,,,,,
2000-08-09 00:00:00,,,,34.8682,35.0316,34.8682,,,,,,
2000-08-10 00:00:00,,,,34.8682,35.0861,34.7047,,,,,,
2000-08-11 00:00:00,,,,35.1406,35.1951,34.9771,,,,,,
2000-08-14 00:00:00,,,,35.0861,35.304,34.9771,,,,0,3,0
2000-08-15 00:00:00,,,,35.0861,35.1406,34.8137,,,,,,
2000-08-16 00:00:00,,,,34.8682,34.9227,34.7592,,,,,,
2000-08-17 00:00:00,,,,34.8137,34.8137,34.5413,,,,,,
2000-08-18 00:00:00,,,,34.7592,34.7592,34.3234,,,,,,
2000-08-21 00:00:00,,,,34.4323,34.7047,34.3779,,,,,,
2000-08-22 00:00:00,,,,34.3779,34.4323,34.1054,,,,,,
2000-08-23 00:00:00,,,,34.2689,34.3234,33.8875,,,,,,
2000-08-24 00:00:00,,,,33.8875,33.942,33.1248,,,,,,
2000-08-25 00:00:00,,,,33.2882,33.3972,32.9069,,,,,,
2000-08-28 00:00:00,,,,33.2882,33.3972,33.0158,,,,,,
2000-08-29 00:00:00,,,,33.1248,33.2882,32.6344,,,,,,
2000-08-30 00:00:00,,,,32.6889,32.8524,31.8172,,,,,,
2000-08-31 00:00:00,,,,32.58,32.6889,32.2531,,,,,,
2000-09-01 00:00:00,,,,32.362,32.4165,31.3814,,,,,,
2000-09-05 00:00:00,,,,31.9807,32.6344,31.7083,,,,,,
2000-09-06 00:00:00,,,,32.2531,32.2531,32.0896,,,,,,
2000-09-07 00:00:00,,,,32.2531,32.7979,32.1441,,,,,,
2000-09-08 00:00:00,,,,33.0158,33.942,32.7979,,,,,,
2000-09-11 00:00:00,,,,34.1599,34.5958,33.6696,,,,,,
2000-09-12 00:00:00,,,,33.9965,33.9965,33.6151,,,,,,
2000-09-13 00:00:00,,,,33.8875,33.8875,33.6151,,,,,,
2000-09-14 00:00:00,,,,33.7786,33.9965,33.1793,,,,,,
2000-09-15 00:00:00,,,,33.5606,33.6696,33.4517,,,,,,
